code,name,title,avatar_url,description
114,老羊,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/FffS3GonUJfxr5DcMKXb.jpg,「 美食台年度热门料理 」料理人
115,Linda,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/vF3e3Ne5U8cpOPdKI0K8.jpg,「 美食台年度热门料理 」料理人
116,钱芸娜,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/MYiFGd8KC2SCI1W8Kv4u.jpg,「 美食台年度热门料理 」料理人
117,糖一一,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/sbMkJ0zZD5y9cB1YjRyL.jpg,「 美食台年度热门料理 」料理人
118,山地姐,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/V4em6LIyBR9C6moxEe77.jpg,「 美食台年度热门料理 」料理人，烘焙达人，高级西点师，原籍四川人，擅长烘焙西点和家常川菜。曾多次为ELLE，贝太杂志担任食物造型师，参与各种品牌厨房电器的推广活动。
120,汪姐,汪姐私房菜主理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/February2018/b2aOYEIcWNuAC8JxEvC5.jpg,汪姐私房菜主理人
139,小赵阿姨,做家常菜拿手的妈妈,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/mzgNjuLTXI3is3OIQ3TT.jpg,做家常菜拿手的妈妈
182,黄任康,新雅粤菜馆行政总厨，中国烹饪大师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/February2018/xs2K030ti4pJEDwmcbWn.jpg,新雅粤菜馆行政总厨 中国烹饪大师
184,Rembrandt,法国名厨，蓝带厨艺学院客座讲师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/February2018/7QXW2yLQOfSrbUepjiVP.jpg,法国蓝带客座讲师，前上海皇家艾美酒店法餐厅主厨、艾菲尔铁塔餐厅主厨并获得米其林一星奖、Plaza Athenee米其林三星餐厅副厨
187,钱正华,新雅粤菜馆厨点顾问，中国资深烹饪大师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/February2018/vxWdQfmgIBfWMgHViQ7z.jpg,新雅粤菜馆厨点顾问，中国资深烹饪大师
264,朗清农场,九龙口酱油店 朗清农场生鲜店,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/February2018/p61H8WJcHl6ITCaBuU64.jpeg,九龙口酱油店 朗清农场生鲜店
502,美善品 thermomix,VORWERK,https://static.ak2.co/users/avatar/KFTzGWFjfB.png,"美善品是德国百年家电企业福维克集团旗下的多功能食品料理机品牌；集众多厨电功能于一身，实现一机多用的便捷省心。产品采用前沿创新科技,通过（数字化）引导式烹饪功能，打造全新的智能无油烟烹饪体验，轻松享受环球美馔。此外，客户可在美善品体验中心预约品鉴，享受专属服务和烹饪指导。美善品更为用户提供精彩互动平台，期待与您一同开启料理新天地！"
657,monbento,美味随行，美好打开,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/April2018/Nv5kV3nghbwh2TXXS2RD.jpg,美食便当，精致生活
685,陈立,浙江大学教授、「舌尖」第二季总顾问,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/March2018/JL79yVjYJziG3Whs3fe4.jpg,浙江大学教授、《舌尖上的中国》第二季总顾问
974,孙老师,中式点心高级技师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/d5behszFd2.jpg,曾任锦江集团专业中点指导，随后十余年分别赴日本及澳洲，担任大型餐饮连锁酒店的中式点心指导。
1102,沈师傅,中餐料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/rm5yJkMWMD.jpg,资深中餐料理人，多年餐饮工作经验
1105,诸妈妈,做家常菜拿手的上海妈妈,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/C5hKw5YWMS.jpg,擅长家常菜，简单料理
1106,殷仔,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/MXPnyywFst.jpg,擅长各种中式料理、融合料理
1114,Meiyi,美食家，营养师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/May2018/atVbxfnmopHNE8njKIpZ.jpg,美食家，营养师
1152,Tom Lang Shen,美籍华人，料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/DEyMn3fPYp.jpg,美籍华人，料理达人，擅长各类中西料理
1167,楠哥,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/rpiptGKWtD.jpg,美食达人，擅长烹饪中国及亚洲料理
1178,Sofia,美食撰稿人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/Gx4nDJMDPB.jpg,美食撰稿人
1179,小为姐姐,爱吃爱做爱厨房,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/yCReSdRDKY.jpg,爱吃爱做爱厨房
1189,晓晓,爱下厨的大宝贝,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/GEMHedSXn5.jpg,爱下厨的大宝贝
1190,牛油果,营养师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/WbG4hMAnS8.jpg,营养师
1206,青衣小厨娘,厨房里的研究员,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/N2CSd2nScj.jpg,厨房里的研究员
1274,一只隐居的猫,人生寡淡，就你下饭,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/4Kf8Kn3w6p.jpg,人生寡淡，就你下饭
1293,sansanfood,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/bdtG5cdMyG.jpg,美食达人
1309,小豆角爱美食,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/wC3tXhCnpz.jpg,爱吃爱做爱厨房
1322,Tinnnnng,私房菜主理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/TDztJdZdH7.jpg,精致生活精致美食
1332,树之静,料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/wmrWxKrdzZ.jpg,料理人
1348,晓霆,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/HepGRZG8RY.jpg,美食达人
1358,cindyma,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/kCtCNi5KYP.jpg,料理达人
1371,dimsun,创意料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/Fm7RGRBd4H.jpg,创意料理人
1422,Sherry,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/i4PMbh44wd.jpg,美食达人
1430,爱吃的小超人,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/bebMiKCn7Q.jpg,美食达人
1432,张小珺,厨艺爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/srEhQhHa8f.jpg,厨艺爱好者
1444,SaiLong,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/zYsEyYZPG2.jpg,料理爱好者
1452,WaitingW,中餐主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/H8iBsTp6iw.jpg,中餐主厨
1461,YvonneNan,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/S3BsZc8tKj.jpg,美食达人
1466,toto酱,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/kbcJdejXnr.jpg,料理爱好者
1497,Elllen,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/TwSf2GQyj3.jpg,料理达人
1514,Mimi,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/PDmtEFhSCY.jpg,复古私房菜的私厨，擅长制作老上海本帮菜
1515,丁忠华,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/feCpHmHp8N.jpg,老灶味道、妈妈家主理人
1516,Samuel,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/WizezJse6y.jpg,全职奶爸，料理老师
1517,Woody,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/bNQTkn7xdA.jpg,东北哈尔滨人，食物造型师，擅长北方菜
1520,孙妙溪,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/bbkGmGYQXs.jpg,呼和浩特人，交响乐团小提琴演奏员
1521,邵瑞琳,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/A8MmwxAchx.jpg,北京人，新媒体美食编辑
1522,熊慧明,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/7bYzP2cjX4.jpg,北京人，家庭主妇
1523,汤先生,「 美食台年度热门料理 」料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/MRhpKQKBFt.jpg,广东潮汕人，汤先生SoupMaster养生汤品牌创始人
1528,爱吃草的兔子,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/eSYGDminGE.jpg,料理达人
1547,tangtangchi,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/ycD2txP3zf.jpg,料理爱好者
1556,思佳佳,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/2iep6pAjDf.jpg,美食达人
1566,十米阳光,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/3MktD6Qxx5.jpg,料理达人
1596,Elsababy,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/3wkE72Psc8.jpg,料理达人
1605,饕姑凉,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/aX82rpzQSP.jpg,料理爱好者
1634,涵隽,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/W83tcdJFNN.jpg,爱手工，爱美食，最爱制作美食。曾经在日本知名料理学校学习日本料理与和果子
1741,Balletto,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/JwpCTMyPMR.jpg,料理爱好者
1748,兮兮,美食爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/kxfEhpC8dT.jpg,做做菜，吃吃饭
1757,vfit,健身应用,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/,健身应用
1773,DELISH KITCHEN,料理视频食谱网站,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/QbFi35bPPw.png,料理视频食谱网站 https://delishkitchen.tv/
1775,蛋花汤,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/6CcHiHZHAA.jpg,料理达人
1800,提拉米苏,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/PGtfj6jXXK.jpg,料理爱好者
1801,Cris瞄瞄,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/iZsWKNH3iT.jpg,美食达人
1802,潇潇X,料理爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/bTnZh47XHF.jpg,料理爱好者
1803,莓薇,爱吃爱料理,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/CKnynJGPjP.jpg,爱吃爱料理
1805,徐徐小厨,营养师，料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/SA8YpRXZpZ.jpg,营养师，料理人
1810,瑶瑶,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/nP6D3sw6tZ.jpg,料理达人
1816,MrSam,健身爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/aBbTY6aGDD.jpg,健身爱好者
1818,雨天小超人,美食爱好者,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/BYxYmpM6yS.jpg,美食爱好者
1841,珊珊乔,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/N2kY2DZ7dz.jpg,料理达人
1844,Mikko,甜品师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/sZsyP6Xf8x.jpg,对颜色、食材搭配、口味融合等方方面面，都有着格外敏锐的感知，并能以细致、贴切的呈现在每一款甜品之中。
1847,郑老师,资深西点老师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/enBnifnfFD.jpg,资深西点老师
